LATEX ERROR FULL REPORT
============================================================
Total errors: 5150
question_text: 755
options: 462
explanation: 3933
============================================================

JM01 | question_text | Missing \frac: {{21}}{{65}}
JM01 | question_text | Missing backslash before: sin
JM01 | question_text | Malformed \frac with \mkern
JM01 | explanation | Missing \frac: {{21}}{{65}}
JM01 | explanation | Missing backslash before: sin
JM01 | explanation | Malformed \frac with \mkern
JM01 | explanation | Malformed trig^2 inside \frac numerator
JM01 | explanation | Malformed trig^2 inside \frac numerator
JM03 | explanation | Malformed trig^2 inside \frac numerator
JM05 | question_text | Missing backslash before: tan
JM06 | explanation | Malformed trig^2 inside \frac numerator
JM06 | explanation | Malformed trig^2 inside \frac numerator
JM06 | explanation | Malformed trig^2 inside \frac numerator
JM07 | explanation | Missing backslash before: sin
JM07 | explanation | Missing backslash before: sin
JM09 | question_text | Missing backslash before: sin
JM09 | question_text | Missing backslash before: cos
JM09 | explanation | Missing backslash before: sin
JM09 | explanation | Missing backslash before: cos
JM09 | explanation | Missing backslash before: cos
JM09 | explanation | Missing backslash before: sin
JM09 | explanation | Missing backslash before: cos
JM09 | explanation | Missing backslash before: cos
JM09 | explanation | Missing backslash before: cos
JM09 | explanation | Missing backslash before: cos
JM09 | explanation | Missing backslash before: cos
JM09 | explanation | Missing backslash before: cos
JM09 | explanation | Missing backslash before: cos
JM09 | explanation | Missing backslash before: cos
JM09 | explanation | Missing backslash before: cos
JM09 | explanation | Missing backslash before: cos
JM11 | question_text | Missing backslash before: sin
JM11 | question_text | Missing backslash before: sin
JM11 | question_text | Missing backslash before: sin
JM11 | question_text | Missing backslash before: sin
JM11 | explanation | Missing backslash before: sin
JM11 | explanation | Missing backslash before: sin
JM11 | explanation | Missing backslash before: sin
JM11 | explanation | Missing backslash before: sin
JM11 | explanation | Missing backslash before: sin
JM11 | explanation | Missing backslash before: sin
JM11 | explanation | Missing backslash before: sin
JM11 | explanation | Missing backslash before: sin
JM11 | explanation | Missing backslash before: sin
JM11 | explanation | Missing backslash before: sin
JM11 | explanation | Missing backslash before: sin
JM11 | explanation | Missing backslash before: sin
JM11 | explanation | Missing backslash before: sin
JM11 | explanation | Missing backslash before: sin
JM12 | question_text | Missing backslash before: sin
JM12 | question_text | Missing backslash before: sin
JM12 | explanation | Missing backslash before: sin
JM12 | explanation | Missing backslash before: sin
JM12 | explanation | Missing backslash before: cos
JM13 | question_text | Missing backslash before: cos
JM13 | question_text | Missing backslash before: cos
JM13 | question_text | Missing backslash before: cos
JM13 | question_text | Missing backslash before: cos
JM13 | explanation | Missing backslash before: cos
JM13 | explanation | Missing backslash before: cos
JM13 | explanation | Missing backslash before: cos
JM13 | explanation | Missing backslash before: cos
JM13 | explanation | Missing backslash before: cos
JM13 | explanation | Missing backslash before: cos
JM13 | explanation | Missing backslash before: cos
JM13 | explanation | Missing backslash before: cos
JM13 | explanation | Missing backslash before: cos
